Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate,functionality,request_method,anti_csrf_bypass,impact,impact_severity,attack_vector,technical_details,comments
Basic HTTP Authentication Risk: Uncovering pyspider Vulnerabilities,https://www.sonarsource.com/blog/basic-http-authentication-risk-uncovering-pyspider-vulnerabilities/,Yaniv Nizry (@YNizry),pyspider,"Reflected XSS, CSRF, Security code review",-,2024-09-02,2024-09-04,account management,POST,samesite cookie bypass,unauthorized actions,critical,api endpoint,of SonarQube ServerSonarQube Cloud DocumentationFind more technical details of SonarQube CloudSonarQube for IDE DocumentationFind more technical details of SonarQube for IDEExplore Sonar's RulesExplore publicly available static analysis rules for all our languagesLanguagesSee our multi-language cove,"An attacker might manipulate an authenticated victim to click on a malicious link, resulting in code execution on the host running pyspider. After we reported our findings, the maintainer has archived the repository on GitHub, making sure users are aware the project isn’t supported anymore (refer to"
CSRF Bypass Using Domain Confusion Leads To ATO,https://infosecwriteups.com/csrf-bypass-using-domain-confusion-leads-to-ato-ac682dd17722,Osama Aly,-,"CSRF, Account takeover","4,000",2024-08-28,2024-09-04,account management,POST,samesite cookie bypass,account takeover,critical,api endpoint,"(POC). We will set enctype=""text/plain"" and include the JSON body in a hidden input. Why did we need the extra parameter in our exploit? Because if you try to send the request like this...<html>  <head><meta name=""referrer"" content=""unsafe-url""></head>  <body>  <script>history.pushState('', '', '/')","And Lessons LearnedBy this, we were able to bypass CSRF using domain confusion. What I learned from this is that I almost missed this bug due to my incorrect assumption that an application using application/json content type wouldn’t be vulnerable to CSRF. We need to try everything and never solely "
Vulnerabilities in Homepage Dashboard,https://www.anvilsecure.com/blog/vulnerabilities-in-homepage-dashboard.html,Daniel Kachakil,Homepage,"RCE, SSRF, CSRF, Information disclosure, Jellyfin",-,2024-08-22,2024-08-26,account management,POST,samesite cookie bypass,unauthorized actions,critical,api endpoint,"for Jellyfin. For example, the qBittorrent integration could be easily abused to retrieve internal settings, including plaintext passwords for SMTP, Proxies, or DynDNS services (if any of these optional settings were configured), by simply setting the endpoint parameter to app/preferences. This is a","By identifying and reporting these vulnerabilities, as well as subsequent bypasses for several of the initial fixes and providing recommendations on how to mitigate them, the Homepage dashboard has strengthened its security posture. While not all recommendations were applied, the maintainers' reacti"
AI Under Siege: Discovering and Exploiting Vulnerabilities,https://sallam.gitbook.io/sec-88/bug-bounty/ai-under-siege-discovering-and-exploiting-vulnerabilities,"Mosaad Sallam (@h0tak88r), Mohamed Walid (@L0daW)",-,"AI, Prompt injection, CSRF, Markdown injection, OAuth",-,2024-08-05,2024-08-06,account management,POST,samesite cookie bypass,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
How Almost Sacrificing a University Group Project led to a Microsoft Bug Bounty,https://medium.com/@pyrus369/how-almost-sacrificing-a-university-group-project-led-to-a-microsoft-bug-bounty-9801e0f8f006,"Alex Bryant, Aditya Dindi, Eric Esquivel",Microsoft (GroupMe),"XSS, CSRF",-,2024-07-23,2024-07-30,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
SSD Advisory – XenForo RCE Via CSRF,https://ssd-disclosure.com/ssd-advisory-xenforo-rce-via-csrf/,Egidio Romano / EgiX,XenForo,"RCE, CSRF, Security code review",-,2024-07-16,2024-07-22,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Self XSS + Login CSRF + OAuth = Account Takeover,https://medium.com/@l_s_/self-xss-login-csrf-oauth-account-takeover-6357f3395b49,LS (@Loupreme_),-,"Account takeover, OAuth, Login CSRF, Self-XSS",-,2024-07-02,2024-08-26,account management,GET,json-based csrf,account takeover,critical,api endpoint,standard csrf exploitation,"a bug like this can cause. Enter CSRFCross Site Request Forgery (CSRF)Another refresher — a CSRF is a type of attack that allows an attacker to induce a victim to perform unintended actions. This is done by creating a malicious HTML form that the user will have to visit, the contents of the form wil"
Exploiting Client-Side Path Traversal to Perform Cross-Site Request Forgery - Introducing CSPT2CSRF,https://blog.doyensec.com/2024/07/02/cspt2csrf.html,Maxence Schmitt (@maxenceschmitt),-,"Client-side Path Traversal, CSRF",-,2024-07-02,2024-07-08,content management,POST,samesite cookie bypass,information disclosure,critical,api endpoint,standard csrf exploitation,We feel CSPT2CSRF is overlooked by many security researchers and unknown by most front-end developers. We hope this work will highlight this class of vulnerabilities and help both security researchers and defenders to secure modern applications. More information If you would like to learn more about
CVE-2024-2448: Authenticated Command Injection In Progress Kemp LoadMaster,https://rhinosecuritylabs.com/research/cve-2024-2448-kemp-loadmaster/,David Yesland (@daveysec),Progress (Kemp LoadMaster),"OS command injection, CSRF, Security code review",-,2024-04-16,2024-05-11,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,"This post demonstrated how the vulnerabilities CVE-2024-2448 and CVE-2024-2449 in Progress Kemp LoadMaster load balancers can be combined to execute unauthorized commands, thereby compromising the security of the affected systems. These vulnerabilities highlight the potential dangers of authenticate"
JSON CSRF in Microsoft Bing Maps Collections,https://infosecwriteups.com/json-csrf-in-microsoft-bing-maps-collections-74afc2b197d5,Jayateertha Guruprasad (@JayateerthaG),Microsoft (Bing),JSON CSRF,-,2024-02-09,2024-02-27,account management,POST,samesite cookie bypass,unauthorized actions,high,api endpoint,standard csrf exploitation,"— Creating/Deleting other users Bing Maps Collections.Unfortunately, This was not severe enough for Microsoft for immediate fix and thus not eligible for a bounty 😔.Liked my article ? Follow me on twitter (@jayateerthaG) and medium for more content about bugbounty, Infosec, cybersecurity and hacking"
LedgerSMB – CVE-2024-23831: Privilege escalation through CSRF attack on “setup.pl”,https://twelvesec.com/2024/02/02/cve-2024-23831/,George Roumeliotis,LedgerSMB,CSRF,-,2024-02-02,2024-02-06,account management,POST,no token,account takeover,critical,api endpoint,of CVE-2024-23831,"CVE-2024-23831 represents a severe security flaw in LedgerSMB, allowing unauthorized privilege escalation via a CSRF attack. The absence of anti-CSRF mechanisms in the application’s critical endpoints underscores the necessity for rigorous security practices in software development, especially for a"
The power of Client-Side Path Traversal: How I found and escalated 2 bugs through “../”,https://medium.com/@Nightbloodz/the-power-of-client-side-path-traversal-how-i-found-and-escalated-2-bugs-through-670338afc90f,Alvaro Balada,-,"Client-side Path Traversal, CSRF, Self-XSS, XSS",-,2024-01-01,2024-01-02,account management,POST,json-based csrf,account takeover,critical,api endpoint,standard csrf exploitation,"on this context but it’s important taking notes of all little bugs and possibly you can find the same bug on other part of the application. Pay attention to what happened next.That little bug was present on a huge part of the routes of the application, the good part comes when I found the same bug i"
Multiple Vulnerabilities In Extreme Networks ExtremeXOS,https://rhinosecuritylabs.com/research/extreme-networks-extremexos-vulnerabilities/,David Yesland (@daveysec),Extreme Networks,"Arbitrary file read, Arbitrary file write, SSRF, RCE, Privilege escalation, Local Privilege Escalation, CSRF, Security code review",-,2023-12-05,2023-12-26,account management,GET,no token,account takeover,critical,api endpoint,standard csrf exploitation,Disclosure Timeline
Securing our home labs: Home Assistant code review,https://github.blog/2023-11-30-securing-our-home-labs-home-assistant-code-review/,Alvaro Muñoz (@pwntester),Home Assistant,"Insecure deserialization, CSRF, RCE, Code injection, Android, iOS, Security code review",-,2023-11-30,2024-01-29,account management,POST,samesite cookie bypass,account takeover,critical,api endpoint,"(PoC) An attacker can use their own malicious server as the hassUrl property of the state json: {   ""hassUrl"":""http://homeassistant.local.evil:8123/"",   ""clientId"":""http://homeassistant.local:8123/"" }","The security code review of Home Assistant highlighted several vulnerabilities and potential security issues, and addressing these findings is crucial to ensure the secure operation of Home Assistant and protect users’ smart homes from potential risks. We would like to thank the Home Assistant team "
"A web cache deception chained to a CSRF, the recipe",https://infosecwriteups.com/a-web-cache-deception-chained-to-a-csrf-the-recipe-9e9a5b5f53aa,Rachid.A (@zhero___),-,"Web cache deception, CSRF",-,2023-10-25,2023-12-27,account management,POST,json-based csrf,account takeover,critical,form-based attack,"was the delivery address. In the context of e-commerce, altering this information can be problematic for the victim who is not attentive.To do this, nothing could be simpler; a small HTML template containing a form as well as the value of the CSRF token in the input provided for this purpose:<html> ","that can be carried out in the name of the victim and to mount a CSRF attack. Like any self-respecting attacker, account takeover remains the initial objective in this case. For this, two features to check:- Password change (very unlikely) -> not possible because the current password was requested- "
Technical Advisory: Vulnerabilities Identified within ListServ,https://www.praetorian.com/blog/vulnerabilities-within-listserv/,Adam Crosser,ListServ,"CSRF, Samesite cookie bypass, Reflected XSS, Stored XSS, Unrestricted file upload, DLL Hijacking, Local Privilege Escalation, Buffer Overflow, Memory corruption",-,2023-10-18,2024-01-02,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
"Blog: OmniSpace, from automated 0day XSS to RCE",https://preprod.patrowl.io/blog-omnispace-from-automated-xss-to-rce-cve-2023-40228/,Florent (@Pepito_oh),Agora-Project (OmniSpace),"RCE, XSS, Account takeover, CSRF, Insecure file upload, LFI, Security code review",-,2023-09-12,2023-09-13,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Bypassing Samesite Cookie Restrictions with Method Override,https://hazanasec.github.io/2023-07-30-Samesite-bypass-method-override.md/,Hazana (@HazanaSec),-,"Samesite cookie bypass, CSRF",-,2023-07-30,2023-08-08,content management,POST,samesite cookie bypass,unauthorized actions,low,api endpoint,standard csrf exploitation,of some popular web frameworks and how they allow method override:
HTML Over the Wire,https://bountyplz.xyz/bugbounty/2023/07/30/HTML-Over-The-Wire.html,Ryan (@healthyoutlet),"Hotwire Turbo, htmx","CSRF, Token leak",-,2023-07-30,2023-07-31,content management,POST,samesite cookie bypass,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
