WriteupTitle,ReportTitle,ReportURL
Basic HTTP Authentication Risk: Uncovering pyspider Vulnerabilities,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
Basic HTTP Authentication Risk: Uncovering pyspider Vulnerabilities,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
Basic HTTP Authentication Risk: Uncovering pyspider Vulnerabilities,WordPress Version Exposure via /wp-links-opml.php on hemi.xyz,https://hackerone.com/reports/3198394
Basic HTTP Authentication Risk: Uncovering pyspider Vulnerabilities,Path Traversal Vulnerability in Lila Project,https://hackerone.com/reports/3181066
Basic HTTP Authentication Risk: Uncovering pyspider Vulnerabilities,1 Click Account Takeover via Auth Token Theft on marketing.hostinger.com,https://hackerone.com/reports/3081691
CSRF Bypass Using Domain Confusion Leads To ATO,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
CSRF Bypass Using Domain Confusion Leads To ATO,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
CSRF Bypass Using Domain Confusion Leads To ATO,DOS of RSKJ server,https://hackerone.com/reports/2105808
CSRF Bypass Using Domain Confusion Leads To ATO,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
CSRF Bypass Using Domain Confusion Leads To ATO,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
Vulnerabilities in Homepage Dashboard,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
Vulnerabilities in Homepage Dashboard,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
Vulnerabilities in Homepage Dashboard,DOS of RSKJ server,https://hackerone.com/reports/2105808
Vulnerabilities in Homepage Dashboard,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
Vulnerabilities in Homepage Dashboard,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
AI Under Siege: Discovering and Exploiting Vulnerabilities,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
AI Under Siege: Discovering and Exploiting Vulnerabilities,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
AI Under Siege: Discovering and Exploiting Vulnerabilities,DOS of RSKJ server,https://hackerone.com/reports/2105808
AI Under Siege: Discovering and Exploiting Vulnerabilities,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
AI Under Siege: Discovering and Exploiting Vulnerabilities,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
SSD Advisory – XenForo RCE Via CSRF,WordPress Version Exposure via /wp-links-opml.php on hemi.xyz,https://hackerone.com/reports/3198394
SSD Advisory – XenForo RCE Via CSRF,[XSS] Reflected XSS via POST request in (███████),https://hackerone.com/reports/3146996
SSD Advisory – XenForo RCE Via CSRF,Path Traversal Vulnerability in Lila Project,https://hackerone.com/reports/3181066
SSD Advisory – XenForo RCE Via CSRF,1 Click Account Takeover via Auth Token Theft on marketing.hostinger.com,https://hackerone.com/reports/3081691
SSD Advisory – XenForo RCE Via CSRF,DoS Vulnerability via Cache Poisoning on cdn.shopify.com and shopify-assets.shopifycdn.com,https://hackerone.com/reports/1695604
Self XSS + Login CSRF + OAuth = Account Takeover,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
Self XSS + Login CSRF + OAuth = Account Takeover,[XSS] Reflected XSS via POST request in (███████),https://hackerone.com/reports/3146996
Self XSS + Login CSRF + OAuth = Account Takeover,ImageId Format Injection in Image Upload Endpoint,https://hackerone.com/reports/3175928
Self XSS + Login CSRF + OAuth = Account Takeover,1 Click Account Takeover via Auth Token Theft on marketing.hostinger.com,https://hackerone.com/reports/3081691
Self XSS + Login CSRF + OAuth = Account Takeover,DoS Vulnerability via Cache Poisoning on cdn.shopify.com and shopify-assets.shopifycdn.com,https://hackerone.com/reports/1695604
Exploiting Client-Side Path Traversal to Perform Cross-Site Request Forgery - Introducing CSPT2CSRF,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
Exploiting Client-Side Path Traversal to Perform Cross-Site Request Forgery - Introducing CSPT2CSRF,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
Exploiting Client-Side Path Traversal to Perform Cross-Site Request Forgery - Introducing CSPT2CSRF,DOS of RSKJ server,https://hackerone.com/reports/2105808
Exploiting Client-Side Path Traversal to Perform Cross-Site Request Forgery - Introducing CSPT2CSRF,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
Exploiting Client-Side Path Traversal to Perform Cross-Site Request Forgery - Introducing CSPT2CSRF,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
CVE-2024-2448: Authenticated Command Injection In Progress Kemp LoadMaster,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
