Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate
Basic HTTP Authentication Risk: Uncovering pyspider Vulnerabilities,https://www.sonarsource.com/blog/basic-http-authentication-risk-uncovering-pyspider-vulnerabilities/,Yaniv Nizry (@YNizry),pyspider,"Reflected XSS, CSRF, Security code review",-,2024-09-02,2024-09-04
CSRF Bypass Using Domain Confusion Leads To ATO,https://infosecwriteups.com/csrf-bypass-using-domain-confusion-leads-to-ato-ac682dd17722,Osama Aly,-,"CSRF, Account takeover","4,000",2024-08-28,2024-09-04
Vulnerabilities in Homepage Dashboard,https://www.anvilsecure.com/blog/vulnerabilities-in-homepage-dashboard.html,Daniel Kachakil,Homepage,"RCE, SSRF, CSRF, Information disclosure, Jellyfin",-,2024-08-22,2024-08-26
AI Under Siege: Discovering and Exploiting Vulnerabilities,https://sallam.gitbook.io/sec-88/bug-bounty/ai-under-siege-discovering-and-exploiting-vulnerabilities,"Mosaad Sallam (@h0tak88r), Mohamed Walid (@L0daW)",-,"AI, Prompt injection, CSRF, Markdown injection, OAuth",-,2024-08-05,2024-08-06
How Almost Sacrificing a University Group Project led to a Microsoft Bug Bounty,https://medium.com/@pyrus369/how-almost-sacrificing-a-university-group-project-led-to-a-microsoft-bug-bounty-9801e0f8f006,"Alex Bryant, Aditya Dindi, Eric Esquivel",Microsoft (GroupMe),"XSS, CSRF",-,2024-07-23,2024-07-30
SSD Advisory – XenForo RCE Via CSRF,https://ssd-disclosure.com/ssd-advisory-xenforo-rce-via-csrf/,Egidio Romano / EgiX,XenForo,"RCE, CSRF, Security code review",-,2024-07-16,2024-07-22
Self XSS + Login CSRF + OAuth = Account Takeover,https://medium.com/@l_s_/self-xss-login-csrf-oauth-account-takeover-6357f3395b49,LS (@Loupreme_),-,"Account takeover, OAuth, Login CSRF, Self-XSS",-,2024-07-02,2024-08-26
Exploiting Client-Side Path Traversal to Perform Cross-Site Request Forgery - Introducing CSPT2CSRF,https://blog.doyensec.com/2024/07/02/cspt2csrf.html,Maxence Schmitt (@maxenceschmitt),-,"Client-side Path Traversal, CSRF",-,2024-07-02,2024-07-08
CVE-2024-2448: Authenticated Command Injection In Progress Kemp LoadMaster,https://rhinosecuritylabs.com/research/cve-2024-2448-kemp-loadmaster/,David Yesland (@daveysec),Progress (Kemp LoadMaster),"OS command injection, CSRF, Security code review",-,2024-04-16,2024-05-11
JSON CSRF in Microsoft Bing Maps Collections,https://infosecwriteups.com/json-csrf-in-microsoft-bing-maps-collections-74afc2b197d5,Jayateertha Guruprasad (@JayateerthaG),Microsoft (Bing),JSON CSRF,-,2024-02-09,2024-02-27
