WriteupTitle,ReportTitle,ReportURL
We Hacked Apple for 3 Months: Here’s What We Found,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
We Hacked Apple for 3 Months: Here’s What We Found,DOS of RSKJ server,https://hackerone.com/reports/2105808
We Hacked Apple for 3 Months: Here’s What We Found,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
We Hacked Apple for 3 Months: Here’s What We Found,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
We Hacked Apple for 3 Months: Here’s What We Found,Ability to increase any customer offered fare (BAC),https://hackerone.com/reports/2861888
"How I hacked companies related to the crypto currency and earned $60,000",Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
"How I hacked companies related to the crypto currency and earned $60,000",Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
"How I hacked companies related to the crypto currency and earned $60,000",DOS of RSKJ server,https://hackerone.com/reports/2105808
"How I hacked companies related to the crypto currency and earned $60,000",Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
"How I hacked companies related to the crypto currency and earned $60,000",IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
"We Hacked Google A.I. for $50,000",Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
"We Hacked Google A.I. for $50,000",DOS of RSKJ server,https://hackerone.com/reports/2105808
"We Hacked Google A.I. for $50,000",Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
"We Hacked Google A.I. for $50,000",IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
"We Hacked Google A.I. for $50,000",Ability to increase any customer offered fare (BAC),https://hackerone.com/reports/2861888
Popping a shell on the Oculus developer portal,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
Popping a shell on the Oculus developer portal,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
Popping a shell on the Oculus developer portal,DOS of RSKJ server,https://hackerone.com/reports/2105808
Popping a shell on the Oculus developer portal,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
Popping a shell on the Oculus developer portal,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
Create post on any Facebook page,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
Create post on any Facebook page,DOS of RSKJ server,https://hackerone.com/reports/2105808
Create post on any Facebook page,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
Create post on any Facebook page,Bypassing Bronze Partner Wallet Restriction to Accept Trips with Negative Balance,https://hackerone.com/reports/2868164
Create post on any Facebook page,Ability to increase any customer offered fare (BAC),https://hackerone.com/reports/2861888
"Workplace by Facebook | Unauthorized access to companies environment — $27,5k",Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
"Workplace by Facebook | Unauthorized access to companies environment — $27,5k",Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
"Workplace by Facebook | Unauthorized access to companies environment — $27,5k",DOS of RSKJ server,https://hackerone.com/reports/2105808
"Workplace by Facebook | Unauthorized access to companies environment — $27,5k",Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
"Workplace by Facebook | Unauthorized access to companies environment — $27,5k",IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
Account Takeover via IDOR,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
Account Takeover via IDOR,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
Account Takeover via IDOR,Ability to increase any customer offered fare (BAC),https://hackerone.com/reports/2861888
