Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate,functionality,vulnerability_type,execution_context,attack_vector,language_or_framework,impact,technical_details
We Hacked Apple for 3 Months: Here’s What We Found,https://samcurry.net/hacking-apple/,Sam Curry (@samwcyo),Apple,"RCE, Authentication bypass, Authorization bypass, SSRF, XXE, Blind XSS, IDOR, OS command injection, SQL injection",288500,10/7/20,11/30/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,PHP,Shell/Command Execution,to test if it would work: <style></sty</style> <style>le><script>alert(1)</script></style>
Lethal Injection: How We Hacked Microsoft's Healthcare Chat Bot,https://www.breachproof.net/blog/lethal-injection-how-we-hacked-microsoft-ai-chat-bot,Yanir Tsarimi (@Yanir_),Microsoft,"Chatbot, Sandbox escape, Cross-tenant vulnerability, RCE, Memory leak",203000,5/7/24,5/11/24,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
A New Attack Surface on MS Exchange Part 1 - ProxyLogon!,https://devco.re/blog/2021/08/06/a-new-attack-surface-on-MS-exchange-part-1-ProxyLogon/,Orange Tsai (@orange_8361),Microsoft,"RCE, Privilege escalation",200000,8/18/21,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,.NET,Shell/Command Execution,Payload not explicitly detailed
Zoom RCE from Pwn2Own 2021,https://sector7.computest.nl/post/2021-08-zoom/,"Thijs Alkemade (@xnyhps), Daan Keuper",Zoom,"RCE, Memory corruption",200000,8/23/21,9/15/22,Imports/Sharing,Command Injection,Desktop App RCE,Web Application Parameter,Java,Shell/Command Execution,"through the server, so any invalid XML would not get to the other client. Many operations using strings are using C++ std::string objects, which meant that buffer overflows due to mistakes in length calculations are also not very likely. About 2 weeks after we started this research, we noticed an interesting thing about the base64 decoding that was happening in a couple of places: len = Cmm::CStri"
Our Experiences Participating in Microsoft’s Azure Sphere Bounty Program,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/our-experiences-participating-in-microsofts-azure-sphere-bounty-program/,McAfee Advanced Threat Research (ATR),Microsoft,"Local Privilege Escalation, RCE, Security Feature bypass",160000,10/6/20,9/15/22,unknown,unknown,unknown,unknown,unknown,unknown,could not extract
"How I Hacked Microsoft Teams and got $150,000 in Pwn2Own",https://speakerdeck.com/masatokinugawa/how-i-hacked-microsoft-teams-and-got-150000-dollars-in-pwn2own,Masato Kinugawa (@kinugawamasato),Microsoft (Teams),"Electron, XSS, RCE",150000,7/31/23,2/1/24,Imports/Sharing,Command Injection,Desktop App RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
Exploiting The Sonos One Speaker Three Different Ways: A Pwn2Own Toronto Highlight,https://www.zerodayinitiative.com/blog/2023/5/24/exploiting-the-sonos-one-speaker-three-different-ways-a-pwn2own-toronto-highlight,The ZDI Research Team (@thezdi),Sonos,"Memory corruption, RCE, Out-of-bounds Read",105000,5/25/23,6/5/23,General Application Logic,Command Injection,Server-side RCE,Web Application Parameter,Generic Linux,Shell/Command Execution,field. The function then extracts the output buffer offset and length from the query directory reply from the server: The speaker then checks that the output buffer does not overlap with the query directory reply header. The offset here will later be used to calculate the IOV_OFFSET: This will also be used at: The output_buffer here will later be used to decode file information from that directory
But You Told Me You Were Safe: Attacking The Mozilla Firefox Renderer (Part 1),https://www.zerodayinitiative.com/blog/2022/8/17/but-you-told-me-you-were-safe-attacking-the-mozilla-firefox-renderer-part-1,"Hossein Lotfi (@hosselot), Manfred Paul (@_manfp)",Mozilla,"Browser hacking, RCE, Prototype pollution",100000,8/23/22,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
Exploitation Of CVE-2021-21220 – From Incorrect JIT Behavior To RCE,https://www.zerodayinitiative.com/blog/2021/12/15/exploitation-of-cve-2021-21220-from-incorrect-jit-behavior-to-rce,"Bruno Keith (@bkth_), Niklas Baumstark(@_niklasb)","Google, Microsoft","Browser hacking, Memory corruption, RCE",100000,12/16/21,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Java,Shell/Command Execution,Payload not explicitly detailed
Bi/ug Bounties and HyperV RCE Research,https://rezer0dai.github.io/biug-bounties/,Peter Hlavaty (@rezer0dai),Microsoft Hyper-V,RCE,100000,12/27/21,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,NodeJS,Full System Compromise,Payload not explicitly detailed
SynLapse – Technical Details for Critical Azure Synapse Vulnerability,https://orca.security/resources/blog/synlapse-critical-azure-synapse-analytics-service-vulnerability/,Tzah Pahima (@TzahPahima),Microsoft,"Cross-tenant vulnerability, RCE, Cloud",60000,6/14/22,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,.NET,Shell/Command Execution,"except for the connector type being “MicrosoftAccess” instead of ODBC. Attempt #2: No GenericOdbc allowed… ? We reported the bypass to Microsoft and waited for them to patch the underlying issue. They blocked MicrosoftAccess and all of the similar connectors leading to GenericOdbcConnector. The problem: they left a connector called GenericOdbcPartition open. This one, although not as straightforwa"
How I Might Have Hacked Any Microsoft Account,https://thezerohack.com/how-i-might-have-hacked-any-microsoft-account,Laxman Muthiyah (@laxmanmuthiyah),Microsoft,"Account takeover, Password reset, Bruteforce, 2FA / MFA bypass",50000,3/2/21,9/15/22,Imports/Sharing,Command Injection,Server-side RCE,Web Application Parameter,Generic Linux,Shell/Command Execution,Payload not explicitly detailed
