WriteupTitle,ReportTitle,ReportURL
We Hacked Apple for 3 Months: Here’s What We Found,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
We Hacked Apple for 3 Months: Here’s What We Found,DOS of RSKJ server,https://hackerone.com/reports/2105808
We Hacked Apple for 3 Months: Here’s What We Found,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
We Hacked Apple for 3 Months: Here’s What We Found,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
We Hacked Apple for 3 Months: Here’s What We Found,Ability to increase any customer offered fare (BAC),https://hackerone.com/reports/2861888
Lethal Injection: How We Hacked Microsoft's Healthcare Chat Bot,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
Lethal Injection: How We Hacked Microsoft's Healthcare Chat Bot,DOS of RSKJ server,https://hackerone.com/reports/2105808
Lethal Injection: How We Hacked Microsoft's Healthcare Chat Bot,Broken Access Control (IDOR) in Booking Detail and Bids Could Leads to Sensitive Information Disclosure,https://hackerone.com/reports/2374730
Lethal Injection: How We Hacked Microsoft's Healthcare Chat Bot,WordPress Version Exposure via /wp-links-opml.php on hemi.xyz,https://hackerone.com/reports/3198394
Lethal Injection: How We Hacked Microsoft's Healthcare Chat Bot,Crafted smart contract can take 1.5 minutes to execute due to inefficient CODESIZE implementation,https://hackerone.com/reports/2489843
Zoom RCE from Pwn2Own 2021,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
Zoom RCE from Pwn2Own 2021,DOS of RSKJ server,https://hackerone.com/reports/2105808
Zoom RCE from Pwn2Own 2021,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
Zoom RCE from Pwn2Own 2021,Broken Access Control (IDOR) in Booking Detail and Bids Could Leads to Sensitive Information Disclosure,https://hackerone.com/reports/2374730
Zoom RCE from Pwn2Own 2021,WordPress Version Exposure via /wp-links-opml.php on hemi.xyz,https://hackerone.com/reports/3198394
"How I Hacked Microsoft Teams and got $150,000 in Pwn2Own",Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
"How I Hacked Microsoft Teams and got $150,000 in Pwn2Own",Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
"How I Hacked Microsoft Teams and got $150,000 in Pwn2Own",DOS of RSKJ server,https://hackerone.com/reports/2105808
"How I Hacked Microsoft Teams and got $150,000 in Pwn2Own",Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
"How I Hacked Microsoft Teams and got $150,000 in Pwn2Own",IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
Exploiting The Sonos One Speaker Three Different Ways: A Pwn2Own Toronto Highlight,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
Exploiting The Sonos One Speaker Three Different Ways: A Pwn2Own Toronto Highlight,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
Exploiting The Sonos One Speaker Three Different Ways: A Pwn2Own Toronto Highlight,DOS of RSKJ server,https://hackerone.com/reports/2105808
Exploiting The Sonos One Speaker Three Different Ways: A Pwn2Own Toronto Highlight,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
Exploiting The Sonos One Speaker Three Different Ways: A Pwn2Own Toronto Highlight,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
SynLapse – Technical Details for Critical Azure Synapse Vulnerability,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
SynLapse – Technical Details for Critical Azure Synapse Vulnerability,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
SynLapse – Technical Details for Critical Azure Synapse Vulnerability,DOS of RSKJ server,https://hackerone.com/reports/2105808
