Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate
We Hacked Apple for 3 Months: Here’s What We Found,https://samcurry.net/hacking-apple/,Sam Curry (@samwcyo),Apple,"RCE, Authentication bypass, Authorization bypass, SSRF, XXE, Blind XSS, IDOR, OS command injection, SQL injection",288500.0,2020-10-07,2022-11-30
Lethal Injection: How We Hacked Microsoft's Healthcare Chat Bot,https://www.breachproof.net/blog/lethal-injection-how-we-hacked-microsoft-ai-chat-bot,Yanir Tsarimi (@Yanir_),Microsoft,"Chatbot, Sandbox escape, Cross-tenant vulnerability, RCE, Memory leak",203000.0,2024-05-07,2024-05-11
A New Attack Surface on MS Exchange Part 1 - ProxyLogon!,https://devco.re/blog/2021/08/06/a-new-attack-surface-on-MS-exchange-part-1-ProxyLogon/,Orange Tsai (@orange_8361),Microsoft,"RCE, Privilege escalation",200000.0,2021-08-18,2022-09-15
Zoom RCE from Pwn2Own 2021,https://sector7.computest.nl/post/2021-08-zoom/,"Thijs Alkemade (@xnyhps), Daan Keuper",Zoom,"RCE, Memory corruption",200000.0,2021-08-23,2022-09-15
Our Experiences Participating in Microsoft’s Azure Sphere Bounty Program,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/our-experiences-participating-in-microsofts-azure-sphere-bounty-program/,McAfee Advanced Threat Research (ATR),Microsoft,"Local Privilege Escalation, RCE, Security Feature bypass",160000.0,2020-10-06,2022-09-15
"How I Hacked Microsoft Teams and got $150,000 in Pwn2Own",https://speakerdeck.com/masatokinugawa/how-i-hacked-microsoft-teams-and-got-150000-dollars-in-pwn2own,Masato Kinugawa (@kinugawamasato),Microsoft (Teams),"Electron, XSS, RCE",150000.0,2023-07-31,2024-02-01
Exploiting The Sonos One Speaker Three Different Ways: A Pwn2Own Toronto Highlight,https://www.zerodayinitiative.com/blog/2023/5/24/exploiting-the-sonos-one-speaker-three-different-ways-a-pwn2own-toronto-highlight,The ZDI Research Team (@thezdi),Sonos,"Memory corruption, RCE, Out-of-bounds Read",105000.0,2023-05-25,2023-06-05
But You Told Me You Were Safe: Attacking The Mozilla Firefox Renderer (Part 1),https://www.zerodayinitiative.com/blog/2022/8/17/but-you-told-me-you-were-safe-attacking-the-mozilla-firefox-renderer-part-1,"Hossein Lotfi (@hosselot), Manfred Paul (@_manfp)",Mozilla,"Browser hacking, RCE, Prototype pollution",100000.0,2022-08-23,2022-09-15
Exploitation Of CVE-2021-21220 – From Incorrect JIT Behavior To RCE,https://www.zerodayinitiative.com/blog/2021/12/15/exploitation-of-cve-2021-21220-from-incorrect-jit-behavior-to-rce,"Bruno Keith (@bkth_), Niklas Baumstark(@_niklasb)","Google, Microsoft","Browser hacking, Memory corruption, RCE",100000.0,2021-12-16,2022-09-15
Bi/ug Bounties and HyperV RCE Research,https://rezer0dai.github.io/biug-bounties/,Peter Hlavaty (@rezer0dai),Microsoft Hyper-V,RCE,100000.0,2021-12-27,2022-09-15
SynLapse – Technical Details for Critical Azure Synapse Vulnerability,https://orca.security/resources/blog/synlapse-critical-azure-synapse-analytics-service-vulnerability/,Tzah Pahima (@TzahPahima),Microsoft,"Cross-tenant vulnerability, RCE, Cloud",60000.0,2022-06-14,2022-09-15
How I Might Have Hacked Any Microsoft Account,https://thezerohack.com/how-i-might-have-hacked-any-microsoft-account,Laxman Muthiyah (@laxmanmuthiyah),Microsoft,"Account takeover, Password reset, Bruteforce, 2FA / MFA bypass",50000.0,2021-03-02,2022-09-15
Finding 0day to hack Apple,https://httpvoid.com/Apple-RCE.md,"Harsh Jaiswal (@rootxharsh), Rahul Maini (@iamnoooob)","Apple, Lucee","RCE, ColdFusion",50000.0,2021-01-16,2022-09-15
CVE-2021-44142: Details On A Samba Code Execution Bug Demonstrated At Pwn2Own Austin,https://www.zerodayinitiative.com/blog/2022/2/1/cve-2021-44142-details-on-a-samba-code-execution-bug-demonstrated-at-pwn2own-austin,"Nguyễn Hoàng Thạch (@hi_im_d4rkn3ss), Billy Jheng Bing-Jhong (@st424204)",-,"Memory corruption, RCE",45000.0,2022-02-01,2022-09-15
CVE-2022-29844: A Classic Buffer Overflow On The Western Digital My Cloud Pro Series PR4100,https://www.zerodayinitiative.com/blog/2023/4/19/cve-2022-29844-a-classic-buffer-overflow-on-the-western-digital-my-cloud-pro-series-pr4100,Luca Moro (@johncool__),Western Digital,"Buffer Overflow, Memory corruption, RCE",40000.0,2023-04-20,2023-04-24
Microsoft Edge (Chromium) - EoP via XSS to Potential RCE,https://leucosite.com/Edge-Chromium-EoP-RCE/,Abdulrahman Alqabandi (@Qab),Microsoft,"XSS, RCE",40000.0,2019-12-24,2022-09-15
$36k Google App Engine RCE,https://web.archive.org/web/20180523180902/https://sites.google.com/site/testsitehacking/-36k-google-app-engine-rce,Ezequiel Pereira (@epereiralopez),Google,RCE,36337.0,2018-05-20,2022-09-15
Subdomain Fuzzing worth 35k bounty!,https://medium.com/@HX007/subdomain-fuzzing-worth-35k-bounty-daebcb56d9bc,"Abdullah Nawaf / HX007, Orwa Atyat (@GodfatherOrwa)",-,"RCE, Authentication bypass, SQL injection",35000.0,2024-03-18,2024-05-08
