WriteupTitle,ReportTitle,ReportURL
HTTP Request Smuggling on business.apple.com and Others.,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
HTTP Request Smuggling on business.apple.com and Others.,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
HTTP Request Smuggling on business.apple.com and Others.,DOS of RSKJ server,https://hackerone.com/reports/2105808
HTTP Request Smuggling on business.apple.com and Others.,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
HTTP Request Smuggling on business.apple.com and Others.,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
The Powerful HTTP Request Smuggling 💪,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
The Powerful HTTP Request Smuggling 💪,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
The Powerful HTTP Request Smuggling 💪,DOS of RSKJ server,https://hackerone.com/reports/2105808
The Powerful HTTP Request Smuggling 💪,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
The Powerful HTTP Request Smuggling 💪,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
Making HTTP header injection critical via response queue poisoning,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
Making HTTP header injection critical via response queue poisoning,WordPress Version Exposure via /wp-links-opml.php on hemi.xyz,https://hackerone.com/reports/3198394
Making HTTP header injection critical via response queue poisoning,[XSS] Reflected XSS via POST request in (███████),https://hackerone.com/reports/3146996
Making HTTP header injection critical via response queue poisoning,Path Traversal Vulnerability in Lila Project,https://hackerone.com/reports/3181066
Making HTTP header injection critical via response queue poisoning,IDOR Vulnerability at AddTagToAssets operation name,https://hackerone.com/reports/2633771
H2C Smuggling in the Wild,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
H2C Smuggling in the Wild,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
H2C Smuggling in the Wild,DOS of RSKJ server,https://hackerone.com/reports/2105808
H2C Smuggling in the Wild,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
H2C Smuggling in the Wild,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
T-Reqs: HTTP Request Smuggling with Differential Fuzzing,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
T-Reqs: HTTP Request Smuggling with Differential Fuzzing,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
T-Reqs: HTTP Request Smuggling with Differential Fuzzing,DOS of RSKJ server,https://hackerone.com/reports/2105808
T-Reqs: HTTP Request Smuggling with Differential Fuzzing,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
T-Reqs: HTTP Request Smuggling with Differential Fuzzing,Bypassing Bronze Partner Wallet Restriction to Accept Trips with Negative Balance,https://hackerone.com/reports/2868164
Practical HTTP Header Smuggling: Sneaking Past Reverse Proxies to Attack AWS and Beyond,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
Practical HTTP Header Smuggling: Sneaking Past Reverse Proxies to Attack AWS and Beyond,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
Practical HTTP Header Smuggling: Sneaking Past Reverse Proxies to Attack AWS and Beyond,DOS of RSKJ server,https://hackerone.com/reports/2105808
Practical HTTP Header Smuggling: Sneaking Past Reverse Proxies to Attack AWS and Beyond,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
Practical HTTP Header Smuggling: Sneaking Past Reverse Proxies to Attack AWS and Beyond,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
I owe your Request | HTTP Request Smuggling leads to Full Accounts takeover,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
I owe your Request | HTTP Request Smuggling leads to Full Accounts takeover,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
I owe your Request | HTTP Request Smuggling leads to Full Accounts takeover,DOS of RSKJ server,https://hackerone.com/reports/2105808
I owe your Request | HTTP Request Smuggling leads to Full Accounts takeover,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
I owe your Request | HTTP Request Smuggling leads to Full Accounts takeover,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
Harvesting Active Directory credentials via HTTP Request Smuggling,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
Harvesting Active Directory credentials via HTTP Request Smuggling,WordPress Version Exposure via /wp-links-opml.php on hemi.xyz,https://hackerone.com/reports/3198394
Harvesting Active Directory credentials via HTTP Request Smuggling,[XSS] Reflected XSS via POST request in (███████),https://hackerone.com/reports/3146996
Harvesting Active Directory credentials via HTTP Request Smuggling,Path Traversal Vulnerability in Lila Project,https://hackerone.com/reports/3181066
Harvesting Active Directory credentials via HTTP Request Smuggling,IDOR Vulnerability at AddTagToAssets operation name,https://hackerone.com/reports/2633771
Gudifu: Guided Differential Fuzzing for HTTP Request Parsing Discrepancies,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
Gudifu: Guided Differential Fuzzing for HTTP Request Parsing Discrepancies,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
Gudifu: Guided Differential Fuzzing for HTTP Request Parsing Discrepancies,DOS of RSKJ server,https://hackerone.com/reports/2105808
Gudifu: Guided Differential Fuzzing for HTTP Request Parsing Discrepancies,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
Gudifu: Guided Differential Fuzzing for HTTP Request Parsing Discrepancies,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
"ICMAD SAP Vulnerabilities (CVE-2022-22536, CVE-2022-22532 & CVE-2022-22533)",WordPress Version Exposure via /wp-links-opml.php on hemi.xyz,https://hackerone.com/reports/3198394
"ICMAD SAP Vulnerabilities (CVE-2022-22536, CVE-2022-22532 & CVE-2022-22533)",Path Traversal Vulnerability in Lila Project,https://hackerone.com/reports/3181066
"ICMAD SAP Vulnerabilities (CVE-2022-22536, CVE-2022-22532 & CVE-2022-22533)",CVE-2025-5399: WebSocket endless loop,https://hackerone.com/reports/3168039
"ICMAD SAP Vulnerabilities (CVE-2022-22536, CVE-2022-22532 & CVE-2022-22533)",Public GitHub repositories for multiple HackerOne managed triage team profiles contain private HackerOne reports information,https://hackerone.com/reports/2937622
"ICMAD SAP Vulnerabilities (CVE-2022-22536, CVE-2022-22532 & CVE-2022-22533)",Server-Side Request Forgery (SSRF) via Game Export API,https://hackerone.com/reports/3165242
"Get paid by smuggling, the legal way",Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
"Get paid by smuggling, the legal way",Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
"Get paid by smuggling, the legal way",DOS of RSKJ server,https://hackerone.com/reports/2105808
"Get paid by smuggling, the legal way",Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
"Get paid by smuggling, the legal way",IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
Smuggling an (Un)exploitable XSS,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
