Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate
How an Akamai misconfiguration earned us USD 46.000,https://blog.hacktivesecurity.com/index.php/2022/09/17/http/,"Francesco Mariani (@_medusa_1_), Jacopo Tediosi (@jacopotediosi)","Akamai, Microsoft, Apple",HTTP request smuggling,46000.0,2022-09-17,2022-09-20
HTTP Request Smuggling on business.apple.com and Others.,https://medium.com/@StealthyBugs/http-request-smuggling-on-business-apple-com-and-others-2c43e81bcc52,Stealthy (@stealthybugs),Apple,HTTP request smuggling,36000.0,2022-04-05,2022-09-15
The Powerful HTTP Request Smuggling 💪,https://medium.com/@ricardoiramar/the-powerful-http-request-smuggling-af208fafa142,Ricardo Iramar dos Santos (@ricardo_iramar),-,HTTP request smuggling,17050.0,2020-10-01,2022-09-15
Making HTTP header injection critical via response queue poisoning,https://portswigger.net/research/making-http-header-injection-critical-via-response-queue-poisoning,James Kettle (@albinowax),-,"HTTP header injection, HTTP request smuggling",12500.0,2022-09-22,2022-09-22
Unveiling TE.0 HTTP Request Smuggling: Discovering a Critical Vulnerability in Thousands of Google Cloud Websites,https://www.bugcrowd.com/blog/unveiling-te-0-http-request-smuggling-discovering-a-critical-vulnerability-in-thousands-of-google-cloud-websites/,"Paolo Arnolfo (@sw33tLie), Guillermo Gregorio (@bsysop), Francesco Mariani (@_medusa_1_)",Google (GCP),"HTTP request smuggling, Cloud",8500.0,2024-07-17,2024-07-22
HTTP Desync Attack (Request Smuggling) - Mass Account Takeover at a Cryptocurrency based asset and 121 other websites,https://github.com/AnkitCuriosity/Write-Ups/blob/main/HTTP%20Desync%20Attack%20(Request%20Smuggling).md,Ankit Singh (@AnkitCuriosity),-,"HTTP request smuggling, Desync attack",4300.0,2022-09-14,2022-12-12
How Did Tons of People Like Me on Tinder?,https://pastebin.com/E6LMFm2w,Mustafa iran (@Mustafaran),-,HTTP request smuggling,2500.0,2019-11-25,2022-09-15
Client Side Desync Attack (CL.0 Request Smuggling) — Bounty of $150,https://bpandasec.medium.com/client-side-desync-attack-cl-0-request-smuggling-bounty-of-150-327d3aeaeea6,Bodhendu Panda,-,"HTTP request smuggling, Client-Side Desync attack",150.0,2022-10-26,2023-05-08
H2C Smuggling in the Wild,https://blog.assetnote.io/2021/03/18/h2c-smuggling/,Sean Yeoh (@seanyeoh),-,HTTP request smuggling,0.0,2021-03-18,2022-09-15
T-Reqs: HTTP Request Smuggling with Differential Fuzzing,https://bahruz.me/publications/11847,"Bahruz Jabiyev (@BahruzJabiyev), Steven Sprecher (@StevenSprecher), Kaan Onarlioglu, Engin Kirda",-,HTTP request smuggling,0.0,2021-11-15,2022-09-15
Practical HTTP Header Smuggling: Sneaking Past Reverse Proxies to Attack AWS and Beyond,https://www.intruder.io/research/practical-http-header-smuggling,Daniel Thatcher (@_danielthatcher),-,"HTTP Header Smuggling, HTTP request smuggling",0.0,2021-11-10,2022-09-15
I owe your Request | HTTP Request Smuggling leads to Full Accounts takeover,https://itsfading.github.io/posts/I-owe-your-Request-HTTP-Request-Smuggling-leads-to-Full-Accounts-takeover/,Muhammad Adel (@ItsFadinG_),-,HTTP request smuggling,0.0,2021-08-30,2022-09-15
Harvesting Active Directory credentials via HTTP Request Smuggling,https://tij.me/blog/harvesting-active-directory-credentials-via-http-request-smuggling/,Tijme Gommers (@tijme),-,HTTP request smuggling,0.0,2021-04-19,2022-03-09
Gudifu: Guided Differential Fuzzing for HTTP Request Parsing Discrepancies,https://spaces-cdn.owlstown.com/blobs/exmixv7d3xutvlj6ksq80zkv4mot,"Bahruz Jabiyev (@BahruzJabiyev), Anthony Gavazzi, Kaan Onarlioglu, Engin Kirda","ATS, Nginx, HAProxy","Web cache poisoning, CPDoS, HTTP request smuggling, Access control bypass",0.0,2024-07-25,2024-08-06
"ICMAD SAP Vulnerabilities (CVE-2022-22536, CVE-2022-22532 & CVE-2022-22533)",https://onapsis.com/threat-report/icmad-sap-vulnerabilities,"SAP Product Security Response team, Onapsis Research Labs",SAP,"HTTP request smuggling, Memory leak, DoS, Memory corruption",0.0,2022-02-08,2022-09-15
"Get paid by smuggling, the legal way",https://medium.com/bugbountywriteup/get-paid-by-smuggling-the-legal-way-c31805de3c59,James Ling (@James_puppykok),-,HTTP request smuggling,0.0,2021-01-25,2022-09-15
Smuggling an (Un)exploitable XSS,https://www.rcesecurity.com/2020/11/Smuggling-an-un-exploitable-xss/,Julien Ahrens (@MrTuxracer),-,"HTTP request smuggling, XSS",0.0,2020-11-13,2022-09-15
IBM Datapower Exploit CVE-2020-5014,https://tomcope.com/exploit/2020/10/21/ibm-datapower-exploit-cve-2020-5014.html,Thomas Cope,IBM,"SSRF, HTTP request smuggling",0.0,2020-10-21,2023-03-02
Escalating reflected XSS with HTTP Smuggling,https://web.archive.org/web/20200825001615/https://hazana.xyz/posts/escalating-reflected-xss-with-http-smuggling/,Hazana (@HazanaSec),-,"Reflected XSS, HTTP request smuggling",0.0,2020-01-27,2022-09-15
Account takeover via HTTP Request Smuggling,https://hipotermia.pw/bb/http-desync-account-takeover,hipotermia (@_hipotermia_),-,"HTTP request smuggling, Account takeover, Open redirect, Internal header disclosure",0.0,2020-01-03,2022-09-15
HTTP Request Smuggling + IDOR,https://hipotermia.pw/bb/http-desync-idor,hipotermia (@_hipotermia_),-,"HTTP request smuggling, IDOR",0.0,2019-12-05,2022-09-15
HTTP Request Smuggling CL.TE,https://memn0ps.github.io/http-request-smuggling-cl-te/,memN0ps (@memN0ps),-,HTTP request smuggling,0.0,2019-09-13,2022-09-15
Exploiting HTTP Request Smuggling (TE.CL)— XSS to website takeover,https://kleiton0x00.github.io/posts/Exploiting-HTTP-Request-Smuggling-(TE.CL)-XSS-to-website-takeover/,Kleiton Kurti (@kleiton0x7e),-,"HTTP request smuggling, XSS",0.0,2021-03-09,2022-09-15
Advanced Inter-Process Desynchronization in SAP’s HTTP Server,https://i.blackhat.com/USA-22/Wednesday/US-22-Doyhenard-Internal-Server-Error-wp.pdf,Martin Doyhenard (@tincho_508),SAP,"Memory corruption, RCE, HTTP request smuggling, Web cache poisoning, Desync attack",0.0,2022-08-10,2022-09-15
HDiff: A Semi-automatic Framework for Discovering Semantic Gap Attack in HTTP Implementations,https://shenkaiwen.com/publication/2022-hdiff/,"Kaiwen Shen (@m0xiaoxi), Jianyu Lu, Yaru Yang, Jianjun Chen, Mingming Zhang, Haixin Duan, Jia Zhang, Xiaofeng Zheng",-,"HTTP request smuggling, DoS, Semantic gap attacks",0.0,2022-03-01,2022-09-15
Abusing Client-Side Desync on Werkzeug,https://mizu.re/post/abusing-client-side-desync-on-werkzeug,Mizu (@kevin_mizu),Werzeug,"Client-Side Desync attack, HTTP request smuggling, Account takeover, Open redirect, XSS",0.0,2023-06-07,2023-06-12
Making desync attacks easy with TRACE,https://portswigger.net/research/trace-desync-attack,Martin Doyhenard (@tincho_508),-,"Desync attack, HTTP request smuggling, Web cache poisoning",0.0,2024-03-19,2024-05-08
HTTP is dead... Long live HTTP?!,https://blog.malicious.group/http-is-dead-long-live-http/,d3d (@deadvolvo),"Akamai, F5","HTTP request smuggling, Web cache poisoning",0.0,2023-11-14,2024-01-10
From Akamai to F5 to NTLM... with love.,https://blog.malicious.group/from-akamai-to-f5-to-ntlm/,d3d (@deadvolvo),"Akamai, F5","HTTP request smuggling, Web cache poisoning",0.0,2023-10-26,2024-01-10
Refresh: Compromising F5 BIG-IP With Request Smuggling | CVE-2023-46747,https://www.praetorian.com/blog/refresh-compromising-f5-big-ip-with-request-smuggling-cve-2023-46747/,"Michael Weber (@BouncyHat), Thomas Hendrickson",F5,"HTTP request smuggling, Authentication bypass, RCE, Apache JServ Protocol (AJP)",0.0,2023-10-26,2023-12-26
DoubleQlik: Bypassing the Fix for CVE-2023-41265 to Achieve Unauthenticated Remote Code Execution,https://www.praetorian.com/blog/doubleqlik-bypassing-the-original-fix-for-cve-2023-41265/,Adam Crosser,Qlik,"RCE, Path traversal, HTTP request tunneling, HTTP request smuggling, Security code review",0.0,2023-09-22,2023-10-03
ZeroQlik: Achieving Unauthenticated Remote Code Execution via HTTP Request Tunneling and Path Traversal,https://www.praetorian.com/blog/qlik-sense-technical-exploit/,Adam Crosser,Qlik,"RCE, Path traversal, HTTP request tunneling, HTTP request smuggling, Security code review",0.0,2023-08-31,2023-09-05
CVE 2023 25690 - Proof of Concept,https://github.com/dhmosfunk/CVE-2023-25690-POC,dhmosfunk (@DSkfunk),Apache HTTP Server,"HTTP request smuggling, HTTP request splitting, CRLF injection",0.0,2023-05-22,2023-06-01
Browser-Powered Desync Attacks: A New Frontier in HTTP Request Smuggling,https://portswigger.net/research/browser-powered-desync-attacks,James Kettle (@albinowax),"AWS, Amazon, Akamai, Cisco, Verisign, Pulse Secure, Varnish","HTTP request smuggling, Desync attack",0.0,2022-08-10,2022-09-15
http: properly reject empty http header field names,https://github.com/haproxy/haproxy/commit/a8598a2eb11b6c989e81f0dbf10be361782e8d32,"Bahruz Jabiyev (@BahruzJabiyev), Anthony Gavazzi, Engin Kirda, Kaan Onarlioglu, Adi Peleg, Harvey Tuch",HAProxy,"HTTP header attack, HTTP request smuggling, Access control bypass",0.0,2023-02-14,2023-02-26
The easiest way I used to bypass an admin panel,https://medium.com/@siratsami71/the-easiest-way-i-used-to-bypass-an-admin-panel-93d4297ed4a6,Sirat Sami (@siratsami71),-,"HTTP request smuggling, Account takeover",0.0,2023-01-19,2023-01-23
