Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate,smuggling_type,desync_impact,vulnerable_component,obfuscation_method,impact_severity,technical_details
How an Akamai misconfiguration earned us USD 46.000,https://www.hacktivesecurity.com/blog/2022/09/17/http/,"Francesco Mariani (@_medusa_1_), Jacopo Tediosi (@jacopotediosi)","Akamai, Microsoft, Apple",HTTP request smuggling,46000,9/17/22,9/20/22,CL.TE,Bypass Security Controls/WAF,Front-End Proxy (General),None,critical,Standard CL.TE or TE.CL payload
HTTP Request Smuggling on business.apple.com and Others.,https://medium.com/@StealthyBugs/http-request-smuggling-on-business-apple-com-and-others-2c43e81bcc52,Stealthy (@stealthybugs),Apple,HTTP request smuggling,36000,4/5/22,9/15/22,CL.TE,Bypass Security Controls/WAF,Front-End Proxy (General),Header Obfuscation (Newline),critical,Standard CL.TE or TE.CL payload
The Powerful HTTP Request Smuggling 💪,https://medium.com/@ricardoiramar/the-powerful-http-request-smuggling-af208fafa142,Ricardo Iramar dos Santos (@ricardo_iramar),-,HTTP request smuggling,17050,10/1/20,9/15/22,CL.TE,Account Takeover,Front-End Proxy (General),Case-Sensitivity,critical,Standard CL.TE or TE.CL payload
Making HTTP header injection critical via response queue poisoning,https://portswigger.net/research/making-http-header-injection-critical-via-response-queue-poisoning,James Kettle (@albinowax),-,"HTTP header injection, HTTP request smuggling",12500,9/22/22,9/22/22,HTTP/2 Downgrade,Bypass Security Controls/WAF,Front-End Proxy (General),Header Obfuscation (Newline),critical,Standard CL.TE or TE.CL payload
Unveiling TE.0 HTTP Request Smuggling: Discovering a Critical Vulnerability in Thousands of Google Cloud Websites,https://www.bugcrowd.com/blog/unveiling-te-0-http-request-smuggling-discovering-a-critical-vulnerability-in-thousands-of-google-cloud-websites/,"Paolo Arnolfo (@sw33tLie), Guillermo Gregorio (@bsysop), Francesco Mariani (@_medusa_1_)",Google (GCP),"HTTP request smuggling, Cloud",8500,7/17/24,7/22/24,CL.TE,Bypass Security Controls/WAF,Front-End Proxy (General),Case-Sensitivity,critical,Standard CL.TE or TE.CL payload
HTTP Desync Attack (Request Smuggling) - Mass Account Takeover at a Cryptocurrency based asset and 121 other websites,https://github.com/AnkitCuriosity/Write-Ups/blob/main/HTTP%20Desync%20Attack%20(Request%20Smuggling).md,Ankit Singh (@AnkitCuriosity),-,"HTTP request smuggling, Desync attack",4300,9/14/22,12/12/22,CL.TE,Bypass Security Controls/WAF,Front-End Proxy (General),Case-Sensitivity,critical,Standard CL.TE or TE.CL payload
How Did Tons of People Like Me on Tinder?,https://pastebin.com/E6LMFm2w,Mustafa iran (@Mustafaran),-,HTTP request smuggling,2500,11/25/19,9/15/22,CL.TE,Account Takeover,Front-End Proxy (General),None,critical,Standard CL.TE or TE.CL payload
Client Side Desync Attack (CL.0 Request Smuggling) — Bounty of $150,https://bpandasec.medium.com/client-side-desync-attack-cl-0-request-smuggling-bounty-of-150-327d3aeaeea6,Bodhendu Panda,-,"HTTP request smuggling, Client-Side Desync attack",150,10/26/22,5/8/23,HTTP/2 Downgrade,Stored XSS,Front-End Proxy (General),None,critical,Standard CL.TE or TE.CL payload
H2C Smuggling in the Wild,https://blog.assetnote.io/2021/03/18/h2c-smuggling/,Sean Yeoh (@seanyeoh),-,HTTP request smuggling,0,3/18/21,9/15/22,HTTP/2 Downgrade,Bypass Security Controls/WAF,Front-End Proxy (General),Case-Sensitivity,critical,Standard CL.TE or TE.CL payload
T-Reqs: HTTP Request Smuggling with Differential Fuzzing,https://bahruz.me/publications/11847,"Bahruz Jabiyev (@BahruzJabiyev), Steven Sprecher (@StevenSprecher), Kaan Onarlioglu, Engin Kirda",-,HTTP request smuggling,0,11/15/21,9/15/22,CL.TE,Account Takeover,Front-End Proxy (General),None,high,Standard CL.TE or TE.CL payload
