WriteupTitle,ReportTitle,ReportURL
We Hacked Apple for 3 Months: Here’s What We Found,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
We Hacked Apple for 3 Months: Here’s What We Found,DOS of RSKJ server,https://hackerone.com/reports/2105808
We Hacked Apple for 3 Months: Here’s What We Found,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
We Hacked Apple for 3 Months: Here’s What We Found,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
We Hacked Apple for 3 Months: Here’s What We Found,Ability to increase any customer offered fare (BAC),https://hackerone.com/reports/2861888
Exploiting Redash instances with CVE-2021-41192,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
Exploiting Redash instances with CVE-2021-41192,DOS of RSKJ server,https://hackerone.com/reports/2105808
Exploiting Redash instances with CVE-2021-41192,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
Exploiting Redash instances with CVE-2021-41192,Bypassing Bronze Partner Wallet Restriction to Accept Trips with Negative Balance,https://hackerone.com/reports/2868164
Exploiting Redash instances with CVE-2021-41192,Broken Access Control (IDOR) in Booking Detail and Bids Could Leads to Sensitive Information Disclosure,https://hackerone.com/reports/2374730
How I hacked Facebook: Part Two,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
How I hacked Facebook: Part Two,DOS of RSKJ server,https://hackerone.com/reports/2105808
How I hacked Facebook: Part Two,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
How I hacked Facebook: Part Two,Ability to increase any customer offered fare (BAC),https://hackerone.com/reports/2861888
How I hacked Facebook: Part Two,Crafted smart contract can take 1.5 minutes to execute due to inefficient CODESIZE implementation,https://hackerone.com/reports/2489843
When it’s not only about a Kubernetes CVE…,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
When it’s not only about a Kubernetes CVE…,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
When it’s not only about a Kubernetes CVE…,DOS of RSKJ server,https://hackerone.com/reports/2105808
When it’s not only about a Kubernetes CVE…,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
When it’s not only about a Kubernetes CVE…,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
Cracking the lens: targeting HTTP's hidden attack-surface,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
Cracking the lens: targeting HTTP's hidden attack-surface,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
Cracking the lens: targeting HTTP's hidden attack-surface,DOS of RSKJ server,https://hackerone.com/reports/2105808
Cracking the lens: targeting HTTP's hidden attack-surface,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
Cracking the lens: targeting HTTP's hidden attack-surface,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
How I made $31500 by submitting a bug to Facebook,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
How I made $31500 by submitting a bug to Facebook,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
How I made $31500 by submitting a bug to Facebook,DOS of RSKJ server,https://hackerone.com/reports/2105808
How I made $31500 by submitting a bug to Facebook,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
How I made $31500 by submitting a bug to Facebook,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
31k$ SSRF in Google Cloud Monitoring led to metadata exposure,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
31k$ SSRF in Google Cloud Monitoring led to metadata exposure,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
