Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate
We Hacked Apple for 3 Months: Here’s What We Found,https://samcurry.net/hacking-apple/,Sam Curry (@samwcyo),Apple,"RCE, Authentication bypass, Authorization bypass, SSRF, XXE, Blind XSS, IDOR, OS command injection, SQL injection",288500.0,2020-10-07,2022-11-30
Exploiting Redash instances with CVE-2021-41192,https://ian.sh/redash,"Ian Carroll (@iangcarroll), Tuan Anh Nguyen (@haxor31337), Gal Nagli (@naglinagli)",-,"Privilege escalation, Session management issue, SSRF",90000.0,2022-01-06,2022-09-15
How I hacked Facebook: Part Two,https://infosecwriteups.com/how-i-hacked-facebook-part-two-ffab96d57b19,Alaa Abdulridha (@alaa0x2),Meta / Facebook,"SSRF, Account takeover, Cookie manipulation",54580.0,2021-03-18,2022-09-15
When it’s not only about a Kubernetes CVE…,https://medium.com/@BreizhZeroDayHunters/when-its-not-only-about-a-kubernetes-cve-8f6b448eafa8,"Reever Zax (@ReeverZax), Hach (@__hach_)",Microsoft,SSRF,40000.0,2020-06-02,2022-09-15
Cracking the lens: targeting HTTP's hidden attack-surface,https://portswigger.net/research/cracking-the-lens-targeting-https-hidden-attack-surface,James Kettle (@albinowax),"Yahoo! / Verizon Media, BT, New Relic","Reflected XSS, SSRF",33000.0,2017-07-27,2022-09-15
How I made $31500 by submitting a bug to Facebook,https://medium.com/@win3zz/how-i-made-31500-by-submitting-a-bug-to-facebook-d31bb046e204,Bipin Jitiya (@win3zz),Meta / Facebook,SSRF,31500.0,2020-05-31,2022-09-15
31k$ SSRF in Google Cloud Monitoring led to metadata exposure,https://nechudav.blogspot.com/2020/11/31k-ssrf-in-google-cloud-monitoring.html,David Nechuta (@david_nechuta),Google,SSRF,31337.0,2020-11-10,2022-09-15
RCE in Google Cloud Deployment Manager,https://www.ezequiel.tech/2020/05/rce-in-cloud-dm.html,Ezequiel Pereira (@epereiralopez),Google,"SSRF, RCE",31337.0,2020-05-21,2022-09-15
Trying to hack Redis via HTTP requests,https://www.agarri.fr/blog/archives/2014/09/11/trying_to_hack_redis_via_http_requests/index.html,Nicolas Grégoire (@Agarri_FR),Meta / Facebook,"SSRF, CRLF injection, RCE",20000.0,2014-09-11,2024-02-06
"Stored XSS, and SSRF in Google using the Dataset Publishing Language",https://s1gnalcha0s.github.io/dspl/2018/03/07/Stored-XSS-and-SSRF-Google.html,Craig Arendt (@signalchaos),Google,"Stored XSS, SSRF",18337.0,2018-03-07,2022-09-15
Hacking Google Drive Integrations,https://httpvoid.com/Hacking-Google-Drive-Integrations.md,Harsh Jaiswal (@rootxharsh),Dropbox,SSRF,17576.0,2022-01-31,2022-09-15
Just Gopher It: Escalating a Blind SSRF to RCE for $15k,https://sirleeroyjenkins.medium.com/just-gopher-it-escalating-a-blind-ssrf-to-rce-for-15k-f5329a974530,SirLeeroyJenkins (@SirLeeroyJenkin),-,"SSRF, RCE",15000.0,2021-05-17,2022-09-15
Into the Borg – SSRF inside Google production network,https://opnsec.com/2018/07/into-the-borg-ssrf-inside-google-production-network/,Enguerran Gillier (@opnsec),Google,SSRF,13337.0,2018-07-20,2022-09-15
"How I Chained 4 vulnerabilities on GitHub Enterprise, From SSRF Execution Chain to RCE!",https://blog.orange.tw/2017/07/how-i-chained-4-vulnerabilities-on.html,Orange Tsai (@orange_8361),GitHub,"SSRF, RCE, CRLF injection, Insecure deserialization",12500.0,2017-07-28,2022-09-15
URL whitelist bypass in https://cxl-services.appspot.com,https://feed.bugs.xdavidhu.me/bugs/0008,David Schütz (@xdavidhu),Google,"Privilege escalation, URL validation bypass, SSRF",10401.1,2021-11-17,2022-09-15
$10000 Facebook SSRF (Bug Bounty),https://amineaboud.medium.com/10000-facebook-ssrf-bug-bounty-402bd21e58e5,Amine Aboud (@amineaboud),Meta / Facebook,SSRF,10000.0,2020-12-03,2022-09-15
Yahoo Small Business (Luminate) and the Not-So-Secret Keys,https://dos.sh/blog/2017/6/21/yahoo-small-business-luminate-and-the-not-so-secret-keys,Tommy DeVoss / dawgyg (@thedawgyg),Yahoo! / Verizon Media,Blind SSRF,9000.0,2017-06-23,2022-09-15
"The Bugs Are Out There, Hiding in Plain Sight",https://medium.com/a-bugz-life/the-bugs-are-out-there-hiding-in-plain-sight-12d056613ea3,A Bug’z Life (@abugzlife1),-,"IDOR, SSRF, Information disclosure, CORS misconfiguration",9000.0,2019-07-15,2022-09-15
Using Vulnerability Analytics Feature Like a Boss,https://medium.com/@ozguralp/using-vulnerability-analytics-feature-like-a-boss-655fc1f1543b,Ozgur Alp (@ozgur_bbh),-,"SSRF, Reflected XSS, Authentication bypass",8600.0,2020-03-15,2022-09-15
Diving into Dependabot along with a bug in npm,https://blog.tyage.net/posts/2021-06-27-dependabot-rce/,tyage (@tyage),GitHub,"SSRF, RCE",8117.0,2021-06-27,2022-09-15
