WriteupTitle,ReportTitle,ReportURL
We Hacked Apple for 3 Months: Here’s What We Found,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
We Hacked Apple for 3 Months: Here’s What We Found,DOS of RSKJ server,https://hackerone.com/reports/2105808
We Hacked Apple for 3 Months: Here’s What We Found,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
We Hacked Apple for 3 Months: Here’s What We Found,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
We Hacked Apple for 3 Months: Here’s What We Found,Ability to increase any customer offered fare (BAC),https://hackerone.com/reports/2861888
Getting XXE in Web Browsers using ChatGPT,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
Getting XXE in Web Browsers using ChatGPT,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
Getting XXE in Web Browsers using ChatGPT,DOS of RSKJ server,https://hackerone.com/reports/2105808
Getting XXE in Web Browsers using ChatGPT,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
Getting XXE in Web Browsers using ChatGPT,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
0day writeup: XXE in uber.com,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
0day writeup: XXE in uber.com,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
0day writeup: XXE in uber.com,DOS of RSKJ server,https://hackerone.com/reports/2105808
0day writeup: XXE in uber.com,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
0day writeup: XXE in uber.com,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
Bug Bounty: Fastmail,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
Bug Bounty: Fastmail,Crafted smart contract can take ~23 seconds to execute due to immense error string construction,https://hackerone.com/reports/2559404
Bug Bounty: Fastmail,Path Traversal Vulnerability in Lila Project,https://hackerone.com/reports/3181066
Bug Bounty: Fastmail,CVE-2025-5399: WebSocket endless loop,https://hackerone.com/reports/3168039
Bug Bounty: Fastmail,Public GitHub repositories for multiple HackerOne managed triage team profiles contain private HackerOne reports information,https://hackerone.com/reports/2937622
XXE To AWS Metadata Disclosure,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
XXE To AWS Metadata Disclosure,Crafted smart contract can take 8 minutes to execute due to bug in modexp precompile.,https://hackerone.com/reports/2412583
XXE To AWS Metadata Disclosure,DOS of RSKJ server,https://hackerone.com/reports/2105808
XXE To AWS Metadata Disclosure,Improper Authentication Throttling Allows Attacker-Controlled Account Lockouts,https://hackerone.com/reports/3160210
XXE To AWS Metadata Disclosure,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
WordPress 5.7 XXE Vulnerability,Improper HTTP header block termination in llhttp,https://hackerone.com/reports/2054283
WordPress 5.7 XXE Vulnerability,IDOR on in-app hardcoded zombie endpoint,https://hackerone.com/reports/3085742
WordPress 5.7 XXE Vulnerability,WordPress Version Exposure via /wp-links-opml.php on hemi.xyz,https://hackerone.com/reports/3198394
WordPress 5.7 XXE Vulnerability,[XSS] Reflected XSS via POST request in (███████),https://hackerone.com/reports/3146996
WordPress 5.7 XXE Vulnerability,Lack of Feedback Validation Permits Arbitrary Driver Ratings,https://hackerone.com/reports/2894018
XXE at Bol.com,DOS of RSKJ server,https://hackerone.com/reports/2105808
XXE at Bol.com,WordPress Version Exposure via /wp-links-opml.php on hemi.xyz,https://hackerone.com/reports/3198394
XXE at Bol.com,Lack of Feedback Validation Permits Arbitrary Driver Ratings,https://hackerone.com/reports/2894018
XXE at Bol.com,Path Traversal Vulnerability in Lila Project,https://hackerone.com/reports/3181066
XXE at Bol.com,IDOR Vulnerability at AddTagToAssets operation name,https://hackerone.com/reports/2633771
