Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate
We Hacked Apple for 3 Months: Here’s What We Found,https://samcurry.net/hacking-apple/,Sam Curry (@samwcyo),Apple,"RCE, Authentication bypass, Authorization bypass, SSRF, XXE, Blind XSS, IDOR, OS command injection, SQL injection",288500.0,2020-10-07,2022-11-30
Getting XXE in Web Browsers using ChatGPT,https://swarm.ptsecurity.com/xxe-chrome-safari-chatgpt/,Igor Sak-Sakovskiy (@Psych0tr1a),"Apple (Safari), Google (Chrome), libxslt",XXE,28000.0,2024-05-22,2024-06-05
0day writeup: XXE in uber.com,https://httpsonly.blogspot.com/2017/01/0day-writeup-xxe-in-ubercom.html,-,Uber,XXE,9000.0,2017-01-24,2022-09-15
Why I paid 3.5K to become a TLD registrar reseller when doing bug bounty,https://medium.com/@hgreal/why-i-paid-3-5k-to-become-a-tld-registrar-reseller-when-doing-bug-bounty-d9d407911dce,hg_real (@hgreal1),-,XXE,7500.0,2020-07-05,2022-09-15
Bug Bounty: Fastmail,https://medium.com/bugbountywriteup/bug-bounty-fastmail-feeda67905f5,Brian Hyde (@0xHyde),Fastmail,"Blind SSRF, Blind XXE",3000.0,2017-12-08,2022-09-15
XXE To AWS Metadata Disclosure,http://almadj.us/infosec/xxe-to-aws-metadata-disclosure/,Al-Madjus (@AlMadjus),-,XXE,2000.0,2021-02-04,2022-09-15
WordPress 5.7 XXE Vulnerability,https://blog.sonarsource.com/wordpress-xxe-security-vulnerability/,Sonar (@SonarSource),WordPress,XXE,600.0,2021-04-27,2022-09-15
XXE at Bol.com,https://medium.com/@jonathanbouman/xxe-at-bol-com-7d331186de54,Jonathan Bouman (@JonathanBouman),Bol.com,XXE,500.0,2018-09-11,2022-09-15
XXE-scape through the front door: circumventing the firewall with HTTP request smuggling,https://honoki.net/2020/03/18/xxe-scape-through-the-front-door-circumventing-the-firewall-with-http-request-smuggling/,Pieter Hiele (@honoki),-,XXE,0.0,2020-03-18,2022-09-15
Exploiting Out Of Band XXE using internal network and php wrappers,http://mahmoudsec.blogspot.com/2019/08/exploiting-out-of-band-xxe-using.html,Mahmoud Gamal (@Zombiehelp54),-,XXE,0.0,2019-08-06,2022-09-15
Spilling Local Files via XXE when HTTP OOB fails,https://blog.noob.ninja/spilling-local-files-via-xxe-when/,Rahul Maini (@iamnoooob),-,XXE,0.0,2019-12-07,2022-09-15
External XML Entity via File Upload (SVG),https://web.archive.org/web/20200305081812/https://0xatul.github.io/posts/2020/02/external-xml-entity-via-file-upload-svg/,Atul (@atul_hax),-,"XXE, Unrestricted file upload",0.0,2020-02-08,2022-09-15
A Tale of Two Formats: Exploiting Insecure XML and ZIP File Parsers to Create a Web Shell,https://spaceraccoon.dev/a-tale-of-two-formats-exploiting-insecure-xml-and-zip-file-parsers-to-create-a,Eugene Lim (@spaceraccoonsec),-,"XXE, RCE, Directory Traversal",0.0,2020-02-18,2022-09-15
"$5,005 worth vulnerability Duplicated, How I loose $5,005 in a day? Denial of Service - Billion LAUGH Attack (XXE)",https://web.archive.org/web/20200820030054/https://medium.com/@protector47/5-005-worth-vulnerability-duplicated-how-i-loose-5-005-in-a-day-831f5a064713,Muhammad Asim Shahzad (@protector47),-,"DoS, XXE",0.0,2020-03-08,2022-09-15
The Hunt for XXE to LFI: How I Uncovered CVE-2019–9670 in a Bug Bounty Program,https://infosecwriteups.com/the-hunt-for-xxe-to-lfi-how-i-uncovered-cve-2019-9670-in-a-bug-bounty-program-5668e4afa806,Karthikeyan.V (@karthithehacker),-,"XXE, LFI, Components with known vulnerabilities",0.0,2024-08-31,2024-09-04
Bug Hunting Stories: Schneider Electric & The Andover Continuum Web.Client,https://www.cyberark.com/resources/threat-research-blog/bug-hunting-stories-schneider-electric-the-andover-continuum-web-client,Niv Levy (@restr1ct3d),Uber,"XXE, Reflected XSS",0.0,2020-05-27,2022-09-15
h1{Error based XXE - bug bounty writeup},https://f4d3.io/xxe_wild/,f4d3 (@f4d3_cl),-,XXE,0.0,2020-05-31,2022-09-15
Exploiting XXE with local DTD files,https://mohemiv.com/all/exploiting-xxe-with-local-dtd-files/,Arseniy Sharoglazov (@_mohemiv),-,XXE,0.0,2018-12-13,2022-09-15
Out of Band XXE in an E-commerce IOS app,https://0xgaurang.medium.com/out-of-band-xxe-in-an-e-commerce-ios-app-e22981f7b59b,Gaurang Bhatnagar (@0xgaurang),-,XXE,0.0,2020-11-19,2022-09-15
My first OOB XXE exploitation,https://www.jomar.fr/posts/2021/my_first_oob_xxe_exploitation/,Joshua Martinelle (@J0_mart),-,XXE,0.0,2021-04-30,2022-09-15
Swiss_E-Voting_Publications,https://github.com/setuid0-sec/Swiss_E-Voting_Publications,setuid0 (@_setuid0_),Swiss E-Voting,"XSS, XXE, RCE, Missing authentication, Broken authentication, Hardcoded credentials",0.0,2019-02-21,2022-09-15
XSS to XXE in Prince v10 and below (CVE-2018-19858),https://corben.io/blog/18-12-5-XSS-to-XXE-in-Prince,Corben Leo (@hacker_),-,"XSS, XXE",0.0,2018-12-05,2022-09-15
From blind XXE to root-level file read access,https://honoki.net/2018/12/from-blind-xxe-to-root-level-file-read-access/,Pieter Hiele (@honoki),-,Blind XXE,0.0,2018-12-12,2022-09-15
XXE Case Studies,https://cinzinga.com/XXE-Case-Studies/,cinzinga (@cinzinga_),-,XXE,0.0,2021-07-26,2022-09-15
